01/01/2025;13534
02/01/2025;35234
03/01/2025;4334
12/01/2025;17676
13/01/2025;2910
15/01/2025;860
16/01/2025;860
17/01/2025;860
18/01/2025;2640
19/01/2025;1390
09/02/2025;760
13/02/2025;760
14/02/2025;760
15/02/2025;530
16/02/2025;530
17/02/2025;530
18/02/2025;1490
19/02/2025;1490
20/02/2025;760
21/02/2025;730
22/02/2025;1490
23/02/2025;2980
24/02/2025;3710
04/03/2025;1490
05/03/2025;760
08/03/2025;760
09/03/2025;1490
03/04/2025;1490
04/04/2025;1720
05/04/2025;760
06/04/2025;1490
15/04/2025;760
17/04/2025;730
20/04/2025;1490
24/04/2025;1490
26/04/2025;1490
27/04/2025;1490
29/04/2025;1490
00/05/2025;1490
01/05/2025;1490
02/05/2025;1490
05/05/2025;1490
12/05/2025;1490
15/05/2025;1490
22/05/2025;760
23/05/2025;2450
